created_at,entry_id,field1 (Water Level),field2 (Rain),field3(Temerature),field4(Humidity),field5 (Alart),field6 (Water Increase Rate),,
26/10/2021,3212,44,26,32,77,1,1.71,,1
27/10/2021,3213,22,77,26,65,0,1.34,,2
28/10/2021,3214,14,0,30,56,0,1.94,,3
29/10/2021,3215,43,0,31,16,1,0.4,,4
30/10/2021,3216,0,9,28,26,0,3.15,,5
31/10/2021,3217,15,0,27,65,0,2.45,,6
01/11/2021,3218,1,64,29,2,0,2.51,,7
02/11/2021,3219,39,57,25,30,1,3.6,,8
03/11/2021,3220,0,92,24,35,0,2.21,,9
04/11/2021,3221,27,0,24,72,1,4.7,,10
05/11/2021,3222,29,0,30,77,1,2.9,,11
06/11/2021,3223,40,67,32,29,1,0.88,,12
07/11/2021,3224,46,0,28,6,1,1.32,,13
08/11/2021,3225,0,0,30,31,0,0.9,,14
09/11/2021,3226,11,67,24,24,0,2.76,,15
10/11/2021,3227,11,95,31,71,0,1.95,,16
11/11/2021,3228,9,0,24,40,0,4.24,,17
12/11/2021,3229,48,53,28,4,1,1.35,,18
13/11/2021,3230,2,0,31,33,0,0.77,,19
14/11/2021,3231,39,0,28,24,1,1.28,,20
15/11/2021,3232,32,82,26,73,1,1.48,,21
